id,date,title,summary
00b2684c-c227-5e71-9bc8-b5c093fc24bb,30-September-2022,Microsoft Exchange Vulnerabilities Exploited,"GTSC disclosed two new vulnerabilities impacting Microsoft Exchange Servers. authenticated access to the vulnerable Exchange server is required to exploit both vulnerabilities. The vulnerabilities impact Microsoft Exchange Server versions 2013, 2016, and 2019."
5dd87f2e-c303-5204-a22f-c47472ba61de,13-October-2022,Actively Exploited Fortinet Authentication Bypass Vulnerability - CVE-2022-40684,"Fortinet publicly disclosed a critical vulnerability impacting multiple Fortinet products on October 10th. The vulnerability is an authentication bypass on administrative interface vulnerability that impacts FortiOS, FortiProxy, and FortiSwitchManager. The eSentire Threat Intelligence team assesses the vulnerability will increase real-world attacks."
59c70655-a1a3-5405-9c54-37efb4a0ef61,11-May-2022,CVE-2022-26923 - Active Directory Domain Services Elevation of Privilege Vulnerability,ESentire is aware of a new vulnerability impacting Active Directory Certificate Services. Microsoft has disclosed a vulnerability that allows a low-privileged user to escalate privileges to domain administrator. eSentire has updated tooling and technical details for exploiting the vulnerability.
944ed664-93fa-5678-b065-8d2889566c4d,10-March-2022,Mitel Vulnerability Exploited,Mitel vulnerability CVE-2022-26143 allows remote and unauthenticated threat actors to perform Denial-of-Service attacks. The vulnerability impacts the Mitel MiCollab and MiVoice Business Express products. Security patches are not available for the vulnerability.
d07637d5-8b14-55c5-a556-4f116bb922c7,14-January-2020,Busting Cisco's Beans :: Hardcoding Your Way to Hell,Cisco Data Center Network Manager product has a total of 14 vulnerabilities. I found three full exploitation chains and multiple primitives that can be used to achieve unauthenticated remote code execution as SYSTEM/root. I performed an audit of the product and found three different exploitation chains.
9db27b29-718c-5479-91f9-49a0db61a2bb,31-March-2022,Spring4Shell - CVE-2022-22965,Security researchers disclosed a high severity vulnerability impacting the Spring Core Framework. The vulnerability allows for unauthenticated Remote Code Execution. the vulnerability is tracked as CVE-2022-22965 and is dubbed Spring4Shell.
efeb7b8f-df18-5928-8540-459ff9deb468,19-August-2020,A SmorgasHORDE of Vulnerabilities :: A Comparative Analysis of Discovery,Horde Groupware Webmail suite of applications has 34+ remote code execution vulnerabilities. I performed an audit of the suite and found a code pattern that facilitated the attack. I missed one bug because of a difference in auditing styles. The bug required several primitives to achieve remote code Execution.
5653b496-8709-53ea-a0f1-fb465bb52189,17-December-2021,Log4j Vulnerabilities Update,Apache Log4j vulnerability CVE-2021-45046 has been elevated from low severity to critical. The vulnerability allows remote code execution and can steal sensitive data from vulnerable systems. Apache says the fix to address the vulnerability was incomplete in certain configurations.
bce41b67-61bb-5d03-ab1d-fa91582848ec,26-January-2022,Polkit Vulnerability Impacting Linux Devices,A new vulnerability impacting Polkit’s pkexec program has been disclosed. The vulnerability allows for Local Privilege Escalation and allows for root privileges escalation. eSentire says the vulnerability will be exploited in a matter of days. Polkit's pkeXec is included by default in all major Linux distributions.
f5d06f6c-3551-5cde-8f93-7c520782482a,04-February-2016,Java and Command Line Injections in Windows,"In Windows, processes are created with a single command line string. This makes Java for Windows vulnerable to injection of additional arguments and commands into the command line. Windows requires the program to quote command line arguments in a different way than in C."
ebd0f6db-d58b-5585-aa0d-5d6d1995a9a4,20-January-2022,ZohOwned :: A Critical Authentication Bypass on Zoho ManageEngine Desktop Central,"Zoho released a security advisory for an authentication bypass in their ManageEngine Desktop Central and Desktop Central MSP products in December 2021. The FBI published a flash alert for the same vulnerability on December 17, 2021. William Vu found a bug in Desktop Central that he had audited in December 2019."
76ff0873-4133-5e7b-9a9b-0da5a72729c0,20-May-2015,CVE-2015-2079: Arbitrary Command Execution in Usermin,"A command execution vulnerability in Usermin has survived for almost 13 years. Usermin is a web-based interface for webmail, password changing and other features. The vulnerability affects versions 0.980 to 1.650 of Usermin. It exploits a specific behavior of Perl's open() function."
6d0239ae-84d2-5d46-9b8f-e93b7e84af1e,11-August-2020,Fileless attack protection，fully protect computer security,A fileless attack refers to a malicious attack in which the malicious payload runs directly in the memory without being stored on the disk. 360 Total Security has a complete fileless attacks protection solution.
